SUBSETID	MEMBERID	MEMBERSTATUS	LINKEDID
80691000000139	30168008	1	
80691000000139	301990003	1	
80691000000139	302812006	1	
80691000000139	302813001	1	
80691000000139	305276001	1	
80691000000139	305374000	1	
80691000000139	305489005	1	
80691000000139	305562003	1	
80691000000139	305679000	1	
80691000000139	305739003	1	
80691000000139	305975009	1	
80691000000139	306033001	1	
80691000000139	306123006	1	
80691000000139	306282009	1	
80691000000139	306325006	1	
80691000000139	306435004	1	
80691000000139	306500003	1	
80691000000139	306591007	1	
80691000000139	307423008	1	
80691000000139	310052009	1	
80691000000139	31015008	1	
80691000000139	31137003	1	
80691000000139	312099009	1	
80691000000139	312874009	1	
80691000000139	312934004	1	
80691000000139	312955002	1	
80691000000139	313077009	1	
80691000000139	314840009	1	
80691000000139	315019000	1	
80691000000139	315124004	1	
80691000000139	315655009	1	
80691000000139	315675000	1	
80691000000139	315826004	1	
80691000000139	316492008	1	
80691000000139	316610008	1	
80691000000139	31676001	1	
80691000000139	316841006	1	
80691000000139	31999004	1	
80691000000139	32545003	1	
80691000000139	327331000000104	1	
80691000000139	32735002	1	
80691000000139	331151000119109	1	
80691000000139	33839006	1	
80691000000139	342381000119109	1	
80691000000139	34242002	1	
80691000000139	342481000000105	1	
80691000000139	35089004	1	
80691000000139	35255008	1	
80691000000139	355161000000101	1	
80691000000139	35526001	1	
80691000000139	35742006	1	
80691000000139	35876006	1	
80691000000139	3589003	1	
80691000000139	359792007	1	
80691000000139	359796005	1	
80691000000139	36276008	1	
80691000000139	365587003	1	
80691000000139	37028008	1	
80691000000139	371237000	1	
80691000000139	37430004	1	
80691000000139	37754005	1	
80691000000139	38523005	1	
80691000000139	385352009	1	
80691000000139	385354005	1	
80691000000139	389351000000106	1	
80691000000139	390531000000100	1	
80691000000139	39085002	1	
80691000000139	39304009	1	
80691000000139	396271000000102	1	
80691000000139	396281000000100	1	
80691000000139	397763006	1	
80691000000139	398329009	1	
80691000000139	398579006	1	
80691000000139	398679002	1	
80691000000139	399271000000106	1	
80691000000139	399911003	1	
80691000000139	39992005	1	
80691000000139	399929008	1	
80691000000139	399990001	1	
80691000000139	400118002	1	
80691000000139	400401000000101	1	
80691000000139	401191000000107	1	
80691000000139	40149008	1	
80691000000139	401931000000108	1	
80691000000139	401941000000104	1	
80691000000139	402081000000102	1	
80691000000139	402126004	1	
80691000000139	402889005	1	
80691000000139	402890001	1	
80691000000139	402894005	1	
80691000000139	402895006	1	
80691000000139	402896007	1	
80691000000139	402913004	1	
80691000000139	402916007	1	
80691000000139	402940004	1	
80691000000139	402941000	1	
80691000000139	402942007	1	
80691000000139	402943002	1	
80691000000139	402944008	1	
80691000000139	402945009	1	
80691000000139	402946005	1	
80691000000139	402947001	1	
80691000000139	402949003	1	
80691000000139	402950003	1	
80691000000139	402951004	1	
80691000000139	402954007	1	
80691000000139	402955008	1	
80691000000139	402956009	1	
80691000000139	402957000	1	
80691000000139	402958005	1	
80691000000139	403484002	1	
80691000000139	405139007	1	
80691000000139	405631006	1	
80691000000139	405635002	1	
80691000000139	406108000	1	
80691000000139	406109008	1	
80691000000139	406528008	1	
80691000000139	406581000	1	
80691000000139	407560009	1	
80691000000139	40780007	1	
80691000000139	4082005	1	
80691000000139	409113002	1	
80691000000139	409411000000106	1	
80691000000139	409788009	1	
80691000000139	410470003	1	
80691000000139	410478005	1	
80691000000139	411831000000102	1	
80691000000139	412712007	1	
80691000000139	413311000000103	1	
80691000000139	413321000000109	1	
80691000000139	413621000000104	1	
80691000000139	413891000000100	1	
80691000000139	414376003	1	
80691000000139	414604009	1	
80691000000139	414701000000104	1	
80691000000139	416421000000106	1	
80691000000139	416491000	1	
80691000000139	416729007	1	
80691000000139	418661000000104	1	
80691000000139	419441000000105	1	
80691000000139	420244003	1	
80691000000139	420281004	1	
80691000000139	420302007	1	
80691000000139	420308006	1	
80691000000139	420321004	1	
80691000000139	420384005	1	
80691000000139	420395004	1	
80691000000139	420403001	1	
80691000000139	420452002	1	
80691000000139	420524008	1	
80691000000139	420543008	1	
80691000000139	420544002	1	
80691000000139	420549007	1	
80691000000139	420554003	1	
80691000000139	420614009	1	
80691000000139	420615005	1	
80691000000139	420658009	1	
80691000000139	420687005	1	
80691000000139	420691000	1	
80691000000139	420718004	1	
80691000000139	420721002	1	
80691000000139	420749009	1	
80691000000139	420764009	1	
80691000000139	420774007	1	
80691000000139	420787001	1	
80691000000139	420801006	1	
80691000000139	420818005	1	
80691000000139	420877009	1	
